Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,latitude,longitude
66,Kenya,33.92,8.73,22.11,31.27,28.82,32.18,Africa,1.4419683,38.4313975
67,Kosovo,27.05,8.04,18.14,24.84,19.53,43.86,Europe,42.5869578,20.9021231
68,Kuwait,48.68,31.31,40.54,35.63,47.48,78.57,Asia,29.2733964,47.4979476
69,Latvia,48.45,11.77,31.26,38.37,42.1,51.65,Europe,56.8406494,24.7537645
70,Lebanon,69.62,24.81,48.61,66.83,54.25,35.12,Asia,33.8750629,35.843409
71,Libya,48.35,12.89,31.73,54.03,34.1,33.25,Africa,26.8234472,18.1236723
72,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74,Europe,55.3500003,23.7499997
73,Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84,Europe,49.8158683,6.1296751
74,Macao,66.81,43.0,55.65,67.9,51.32,69.27,Asia,22.1899448,113.5380454
75,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3,Asia,4.5693754,102.2656823
76,Maldives,57.66,30.2,44.78,56.6,34.72,28.59,Asia,3.7203503,73.2244152
77,Malta,67.84,29.72,49.97,59.59,72.42,44.18,Europe,35.8885993,14.4476911
78,Mauritius,44.08,10.95,28.55,45.61,33.44,29.62,Africa,-20.2759451,57.5703566
79,Mexico,35.35,12.55,24.66,34.82,32.67,38.62,North America,23.6585116,-102.0077097
80,Moldova,30.35,8.7,20.2,24.96,27.1,33.43,Europe,47.2879608,28.5670941
81,Mongolia,34.74,11.22,23.72,36.14,22.8,24.34,Asia,46.8250388,103.8499736
82,Montenegro,38.95,12.87,26.72,31.76,33.22,34.19,Europe,42.9868853,19.5180992
83,Morocco,33.83,8.98,22.18,30.63,24.52,34.36,Africa,31.1728205,-7.3362482
84,Myanmar,35.67,21.18,28.87,37.63,20.0,13.84,Asia,17.1750495,95.9999652
85,Nepal,28.29,3.96,16.89,26.45,20.41,22.96,Asia,28.1083929,84.0917139
